epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3870.12,0.88704,1.42485,1.3513,0.59981,0.59223,0.64084,0.45925,1.1294,1.59892,1.69181,0.000424187,0.000424187,0.000424187
43,3960.66,0.88638,1.41238,1.34818,0.61091,0.66569,0.70203,0.51276,1.05373,1.38437,1.59969,0.000417119,0.000417119,0.000417119
44,4051.18,0.88233,1.38138,1.33823,0.65106,0.64303,0.70979,0.52793,1.01264,1.42611,1.60291,0.00041005,0.00041005,0.00041005
45,4141.8,0.88004,1.39669,1.33987,0.68306,0.63255,0.70367,0.521,0.99716,1.39127,1.55992,0.000402982,0.000402982,0.000402982
46,4232.16,0.85636,1.34477,1.33464,0.60749,0.59485,0.64556,0.48897,0.97122,1.47198,1.52226,0.000395913,0.000395913,0.000395913
47,4322.79,0.8557,1.34277,1.33306,0.62601,0.60253,0.67728,0.50955,1.01033,1.35447,1.5701,0.000388844,0.000388844,0.000388844
48,4413.16,0.86298,1.31949,1.32886,0.54646,0.66338,0.7075,0.52286,0.94195,1.33953,1.51335,0.000381776,0.000381776,0.000381776
49,4503.65,0.84061,1.28644,1.31296,0.6574,0.64385,0.71234,0.53629,1.03096,1.37022,1.60245,0.000374707,0.000374707,0.000374707
50,4594.39,0.83526,1.27064,1.32167,0.54542,0.67187,0.674,0.50845,1.04626,1.3888,1.5697,0.000367639,0.000367639,0.000367639
51,4685.07,0.83608,1.28693,1.31307,0.72635,0.59103,0.72255,0.53746,1.06162,1.3441,1.65914,0.00036057,0.00036057,0.00036057
52,4775.8,0.82956,1.2533,1.29735,0.59831,0.70212,0.73044,0.54757,1.01464,1.28117,1.63207,0.000353501,0.000353501,0.000353501
53,4866.5,0.8141,1.22174,1.29273,0.73826,0.59437,0.71893,0.53702,0.97922,1.34045,1.57567,0.000346433,0.000346433,0.000346433
54,4956.93,0.81046,1.20839,1.29545,0.70346,0.58173,0.69445,0.51454,1.03661,1.43269,1.59212,0.000339364,0.000339364,0.000339364
55,5051.25,0.8198,1.19782,1.29438,0.5351,0.71099,0.6879,0.50132,1.01956,1.44084,1.59611,0.000332296,0.000332296,0.000332296
56,5141.78,0.78428,1.18432,1.27082,0.65789,0.65372,0.71102,0.52337,1.03102,1.31286,1.63301,0.000325227,0.000325227,0.000325227
57,5232.42,0.79778,1.15735,1.27468,0.66548,0.62727,0.73007,0.55518,0.98083,1.22688,1.57846,0.000318158,0.000318158,0.000318158
58,5323.69,0.80402,1.15662,1.28347,0.67033,0.6538,0.7274,0.54967,0.99195,1.23892,1.59166,0.00031109,0.00031109,0.00031109
59,5416.27,0.79696,1.13154,1.27317,0.61066,0.64933,0.68298,0.50725,1.04656,1.41619,1.61774,0.000304021,0.000304021,0.000304021
60,5511.21,0.75705,1.09517,1.24973,0.58507,0.70235,0.7169,0.52643,1.03659,1.30743,1.65532,0.000296953,0.000296953,0.000296953
61,5604.83,0.76589,1.11228,1.25916,0.69006,0.61065,0.7178,0.54781,1.01104,1.34279,1.62253,0.000289884,0.000289884,0.000289884
62,5696.11,0.76495,1.0941,1.26547,0.65206,0.73091,0.7425,0.55922,0.94616,1.25365,1.5225,0.000282815,0.000282815,0.000282815
63,5788.23,0.75622,1.10466,1.25277,0.60013,0.73519,0.70867,0.53586,0.96246,1.33436,1.55796,0.000275747,0.000275747,0.000275747
64,5881.24,0.73571,1.0522,1.23994,0.66692,0.65318,0.74467,0.5409,0.99665,1.2449,1.59568,0.000268678,0.000268678,0.000268678
65,5977.1,0.74588,1.07037,1.25167,0.66669,0.72786,0.75349,0.55485,0.97058,1.17584,1.56556,0.00026161,0.00026161,0.00026161
66,6081.64,0.756,1.06861,1.25291,0.65471,0.69419,0.73741,0.56573,0.98685,1.17972,1.58013,0.000254541,0.000254541,0.000254541
67,6181.75,0.76773,1.03376,1.25582,0.63256,0.77316,0.74851,0.56802,0.94772,1.25693,1.5462,0.000247472,0.000247472,0.000247472
68,6279.24,0.72358,1.01887,1.22908,0.66331,0.70431,0.73936,0.54962,1.02266,1.25929,1.63465,0.000240404,0.000240404,0.000240404
69,6374.23,0.7226,1.00772,1.22356,0.61227,0.71924,0.7256,0.54226,1.02021,1.33089,1.64417,0.000233335,0.000233335,0.000233335
70,6469.19,0.72526,1.02092,1.22996,0.64103,0.6417,0.68948,0.5308,0.97527,1.30333,1.62825,0.000226267,0.000226267,0.000226267
71,6563.18,0.70573,1.00182,1.21245,0.7256,0.62287,0.71547,0.55135,0.95616,1.25045,1.5602,0.000219198,0.000219198,0.000219198
72,6658.09,0.71707,0.97631,1.21359,0.73809,0.64061,0.75618,0.57712,0.94267,1.18185,1.58149,0.000212129,0.000212129,0.000212129
73,6751.18,0.70655,0.9825,1.22182,0.62712,0.75308,0.75524,0.57706,0.95877,1.15985,1.59038,0.000205061,0.000205061,0.000205061
74,6842.38,0.70284,0.95408,1.21863,0.69051,0.6454,0.73664,0.5559,0.97972,1.15331,1.5903,0.000197992,0.000197992,0.000197992
75,6933.82,0.69336,0.92919,1.20692,0.71941,0.62121,0.73798,0.5547,0.96686,1.24448,1.52375,0.000190924,0.000190924,0.000190924
76,7030.43,0.67893,0.92126,1.19411,0.65087,0.72118,0.73453,0.56295,0.93945,1.23504,1.52176,0.000183855,0.000183855,0.000183855
77,7124.41,0.68187,0.93535,1.20578,0.7279,0.60955,0.73518,0.56439,0.93944,1.22277,1.51869,0.000176786,0.000176786,0.000176786
78,7215.85,0.66652,0.8996,1.18091,0.63681,0.71052,0.73995,0.5518,0.99041,1.25559,1.58548,0.000169718,0.000169718,0.000169718
79,7306.83,0.68581,0.91172,1.20939,0.66421,0.66075,0.73721,0.5591,0.93516,1.2538,1.53496,0.000162649,0.000162649,0.000162649
80,7403.08,0.67593,0.89007,1.19261,0.65354,0.72665,0.75265,0.56566,0.93292,1.1509,1.54052,0.000155581,0.000155581,0.000155581
81,7498.32,0.65682,0.86456,1.18582,0.68293,0.71359,0.74439,0.56159,0.94928,1.18744,1.56728,0.000148512,0.000148512,0.000148512
82,7596.35,0.66433,0.88285,1.18804,0.67277,0.69062,0.74939,0.56826,0.95865,1.22994,1.56542,0.000141443,0.000141443,0.000141443
83,7688.15,0.66008,0.87121,1.19088,0.68943,0.75829,0.7757,0.59074,0.93407,1.09096,1.55403,0.000134375,0.000134375,0.000134375
84,7778.92,0.64062,0.83964,1.17165,0.71248,0.73567,0.79563,0.6032,0.94875,1.09308,1.56233,0.000127306,0.000127306,0.000127306
85,7869.71,0.6504,0.86283,1.16844,0.64652,0.73014,0.76384,0.57474,0.9479,1.19266,1.57407,0.000120238,0.000120238,0.000120238
86,7960.33,0.63777,0.81466,1.1658,0.72065,0.68354,0.76535,0.58634,0.94586,1.15441,1.58439,0.000113169,0.000113169,0.000113169
87,8051.54,0.63487,0.8215,1.165,0.63492,0.71046,0.75832,0.58512,0.95148,1.18251,1.5962,0.0001061,0.0001061,0.0001061
88,8142.27,0.62147,0.81252,1.16026,0.70994,0.69553,0.77064,0.60795,0.92636,1.13183,1.58617,9.90318e-05,9.90318e-05,9.90318e-05
89,8233.09,0.61658,0.8043,1.14852,0.67991,0.7422,0.76446,0.59235,0.96154,1.11887,1.60096,9.19632e-05,9.19632e-05,9.19632e-05
90,8324.16,0.61964,0.79162,1.15806,0.6638,0.76944,0.77408,0.59356,0.95243,1.0824,1.56899,8.48946e-05,8.48946e-05,8.48946e-05
91,8413.38,0.49692,0.50884,1.10917,0.6768,0.7012,0.75411,0.58255,0.93043,1.12578,1.55022,7.7826e-05,7.7826e-05,7.7826e-05
92,8502.55,0.46811,0.46903,1.08702,0.62446,0.78282,0.75716,0.59514,0.91065,1.15907,1.54433,7.07574e-05,7.07574e-05,7.07574e-05
93,8591.42,0.45779,0.45775,1.07969,0.67286,0.77987,0.78547,0.62373,0.87979,1.0385,1.50012,6.36888e-05,6.36888e-05,6.36888e-05
94,8680.39,0.44653,0.46682,1.07687,0.64746,0.80702,0.78336,0.61389,0.88988,1.12228,1.51692,5.66202e-05,5.66202e-05,5.66202e-05
95,8769.36,0.45816,0.46302,1.07808,0.63205,0.7919,0.78074,0.61787,0.90964,1.11625,1.56248,4.95516e-05,4.95516e-05,4.95516e-05
96,8861.19,0.43743,0.42345,1.06499,0.70293,0.77036,0.79378,0.6257,0.9047,1.05748,1.56026,4.2483e-05,4.2483e-05,4.2483e-05
97,8954.14,0.43148,0.41975,1.05378,0.69145,0.76308,0.78053,0.61154,0.92645,1.12639,1.58408,3.54144e-05,3.54144e-05,3.54144e-05
98,9043.06,0.42668,0.41831,1.05332,0.64495,0.78558,0.77819,0.61577,0.91343,1.09862,1.57204,2.83458e-05,2.83458e-05,2.83458e-05
99,9132.33,0.42368,0.4095,1.0467,0.65941,0.7559,0.77243,0.60975,0.91195,1.09596,1.57812,2.12772e-05,2.12772e-05,2.12772e-05
100,9221.71,0.41037,0.40468,1.04553,0.66272,0.79634,0.77985,0.62273,0.89734,1.06062,1.55986,1.42086e-05,1.42086e-05,1.42086e-05
