epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.051,1.47459,2.46751,1.55455,0.33648,0.24444,0.24121,0.13738,2.19843,3.00657,2.02622,0.000555389,0.000555389,0.000555389
2,393.986,1.57932,2.29649,1.60818,0.3261,0.27056,0.2261,0.12905,2.29932,3.34761,2.15944,0.00108906,0.00108906,0.00108906
3,576.287,1.60474,2.13308,1.62339,0.40791,0.27333,0.2284,0.11613,2.20539,2.70514,2.07456,0.00160072,0.00160072,0.00160072
4,760.675,1.53751,2.02878,1.56684,0.374,0.22778,0.25816,0.15844,2.08668,2.4212,1.91956,0.00156798,0.00156798,0.00156798
5,936.795,1.52033,1.91445,1.55062,0.38974,0.3479,0.33391,0.19,1.98195,2.19905,1.80044,0.00153497,0.00153497,0.00153497
6,1111.11,1.46043,1.80217,1.51256,0.42138,0.27333,0.31518,0.18743,1.96465,2.14551,1.7897,0.00150197,0.00150197,0.00150197
7,1283.05,1.40863,1.74177,1.48723,0.35228,0.39722,0.34648,0.17076,1.9781,2.05112,1.86586,0.00146896,0.00146896,0.00146896
8,1456.63,1.40668,1.72089,1.48174,0.44752,0.36722,0.36547,0.21167,1.99367,2.09619,1.8601,0.00143595,0.00143595,0.00143595
9,1634.59,1.38157,1.64719,1.46481,0.58243,0.41787,0.45119,0.22783,1.93168,1.83489,1.8663,0.00140295,0.00140295,0.00140295
10,1813.69,1.36212,1.61297,1.45494,0.3517,0.44556,0.41395,0.22201,1.89729,1.89818,1.79434,0.00136994,0.00136994,0.00136994
11,2153.76,1.34802,1.5711,1.44408,0.50934,0.39952,0.41184,0.21587,1.88156,1.94602,1.79091,0.00133693,0.00133693,0.00133693
12,2343.23,1.31597,1.57097,1.43069,0.53102,0.40889,0.4427,0.24229,1.85869,1.75441,1.73881,0.00130393,0.00130393,0.00130393
13,2531.15,1.29805,1.51287,1.41946,0.50912,0.41299,0.45413,0.2442,1.90668,1.80495,1.77657,0.00127092,0.00127092,0.00127092
14,2717.4,1.29145,1.44914,1.40203,0.53778,0.50222,0.49052,0.26779,1.85401,1.80941,1.77146,0.00123791,0.00123791,0.00123791
15,2901.91,1.28202,1.45729,1.39515,0.52531,0.52889,0.48832,0.27363,1.82404,1.68347,1.74065,0.00120491,0.00120491,0.00120491
16,3088.19,1.25827,1.42701,1.39133,0.58712,0.49422,0.51236,0.28137,1.77048,1.60702,1.65903,0.0011719,0.0011719,0.0011719
17,3274.87,1.24858,1.43018,1.38556,0.56437,0.52333,0.52016,0.27693,1.81756,1.63206,1.71996,0.00113889,0.00113889,0.00113889
18,3459.89,1.26218,1.41087,1.38832,0.52126,0.40222,0.4184,0.24222,1.84472,1.85021,1.69882,0.00110589,0.00110589,0.00110589
19,3644.47,1.22057,1.34151,1.36379,0.47629,0.54167,0.51947,0.28108,1.75129,1.65471,1.66452,0.00107288,0.00107288,0.00107288
20,3828.86,1.21026,1.33722,1.35832,0.61085,0.45442,0.50192,0.27296,1.79942,1.71042,1.72074,0.00103987,0.00103987,0.00103987
21,4016.66,1.21465,1.32255,1.35464,0.58701,0.51127,0.54177,0.28837,1.81431,1.64774,1.71347,0.00100687,0.00100687,0.00100687
22,4206.67,1.2206,1.32012,1.35936,0.68472,0.4422,0.53892,0.28282,1.83791,1.65865,1.71905,0.000973861,0.000973861,0.000973861
23,4392.02,1.18226,1.29185,1.34276,0.66222,0.56514,0.59998,0.30341,1.75403,1.53064,1.68423,0.000940855,0.000940855,0.000940855
24,4577.23,1.17538,1.28689,1.33483,0.59984,0.52778,0.53091,0.28347,1.77309,1.6099,1.66843,0.000907848,0.000907848,0.000907848
25,4758.06,1.17058,1.27466,1.33987,0.61983,0.56944,0.58374,0.31972,1.69542,1.50048,1.60508,0.000874842,0.000874842,0.000874842
26,4937.37,1.1632,1.24604,1.32907,0.66878,0.54778,0.59919,0.32309,1.67511,1.49805,1.57652,0.000841835,0.000841835,0.000841835
27,5116.19,1.14862,1.2301,1.32649,0.57098,0.53006,0.56338,0.30817,1.78039,1.51163,1.67706,0.000808828,0.000808828,0.000808828
28,5294.41,1.15359,1.22446,1.32726,0.69292,0.50833,0.58728,0.30656,1.74249,1.49222,1.64481,0.000775822,0.000775822,0.000775822
29,5474.52,1.16658,1.22242,1.33152,0.63585,0.59603,0.62809,0.32324,1.77145,1.4184,1.69032,0.000742815,0.000742815,0.000742815
30,5652.99,1.14188,1.19942,1.3168,0.75278,0.47,0.59477,0.29912,1.79136,1.54837,1.68109,0.000709809,0.000709809,0.000709809
31,5828.72,1.14765,1.21506,1.31852,0.5904,0.57366,0.59832,0.32426,1.73145,1.55423,1.64096,0.000676802,0.000676802,0.000676802
32,6009.33,1.12399,1.17149,1.30524,0.71483,0.53543,0.62287,0.31811,1.75865,1.45709,1.6769,0.000643795,0.000643795,0.000643795
33,6188.27,1.11295,1.15638,1.29905,0.63936,0.59,0.59631,0.32593,1.68245,1.4661,1.58758,0.000610789,0.000610789,0.000610789
34,6367.96,1.12578,1.16769,1.29891,0.68648,0.62316,0.63762,0.33428,1.66911,1.44201,1.58296,0.000577782,0.000577782,0.000577782
35,6548.48,1.1196,1.16494,1.30065,0.59475,0.60722,0.56945,0.31668,1.67273,1.50713,1.57772,0.000544776,0.000544776,0.000544776
36,6729.34,1.07965,1.12135,1.27526,0.60963,0.56389,0.58992,0.31464,1.71196,1.4873,1.62546,0.000511769,0.000511769,0.000511769
37,6908.29,1.0939,1.12392,1.28489,0.6658,0.5738,0.63614,0.34434,1.64858,1.42402,1.56301,0.000478762,0.000478762,0.000478762
38,7088.5,1.0844,1.11064,1.28042,0.73342,0.58839,0.65128,0.3434,1.67011,1.42311,1.57068,0.000445756,0.000445756,0.000445756
39,7268.47,1.07866,1.08584,1.27476,0.65909,0.60035,0.61918,0.32604,1.66022,1.47412,1.58785,0.000412749,0.000412749,0.000412749
40,7450.75,1.06417,1.09986,1.26892,0.7215,0.57167,0.62328,0.33825,1.66312,1.46543,1.57049,0.000379743,0.000379743,0.000379743
